file,field_path,non_null_count,record_count,presence_fraction
MimicCondition.ndjson.gz,id,4506,4506,1.0
MimicCondition.ndjson.gz,code.coding[0].code,4506,4506,1.0
MimicCondition.ndjson.gz,code.coding[0].system,4506,4506,1.0
MimicCondition.ndjson.gz,code.coding[0].display,4506,4506,1.0
MimicCondition.ndjson.gz,meta.profile[0],4506,4506,1.0
MimicCondition.ndjson.gz,subject.reference,4506,4506,1.0
MimicCondition.ndjson.gz,category[0].coding[0].code,4506,4506,1.0
MimicCondition.ndjson.gz,category[0].coding[0].system,4506,4506,1.0
MimicCondition.ndjson.gz,category[0].coding[0].display,4506,4506,1.0
MimicCondition.ndjson.gz,encounter.reference,4506,4506,1.0
MimicCondition.ndjson.gz,resourceType,4506,4506,1.0
MimicConditionED.ndjson.gz,id,545,545,1.0
MimicConditionED.ndjson.gz,code.coding[0].code,545,545,1.0
MimicConditionED.ndjson.gz,code.coding[0].system,545,545,1.0
MimicConditionED.ndjson.gz,code.coding[0].display,545,545,1.0
MimicConditionED.ndjson.gz,meta.profile[0],545,545,1.0
MimicConditionED.ndjson.gz,subject.reference,545,545,1.0
MimicConditionED.ndjson.gz,category[0].coding[0].code,545,545,1.0
MimicConditionED.ndjson.gz,category[0].coding[0].system,545,545,1.0
MimicConditionED.ndjson.gz,category[0].coding[0].display,545,545,1.0
MimicConditionED.ndjson.gz,encounter.reference,545,545,1.0
MimicConditionED.ndjson.gz,resourceType,545,545,1.0
MimicEncounter.ndjson.gz,id,275,275,1.0
MimicEncounter.ndjson.gz,meta.profile[0],275,275,1.0
MimicEncounter.ndjson.gz,type[0].coding[0].code,275,275,1.0
MimicEncounter.ndjson.gz,type[0].coding[0].system,275,275,1.0
MimicEncounter.ndjson.gz,type[0].coding[0].display,275,275,1.0
MimicEncounter.ndjson.gz,class.code,275,275,1.0
MimicEncounter.ndjson.gz,class.system,275,275,1.0
MimicEncounter.ndjson.gz,class.display,275,275,1.0
MimicEncounter.ndjson.gz,period.end,275,275,1.0
MimicEncounter.ndjson.gz,period.start,275,275,1.0
MimicEncounter.ndjson.gz,status,275,275,1.0
MimicEncounter.ndjson.gz,subject.reference,275,275,1.0
MimicEncounter.ndjson.gz,location[0].period.end,275,275,1.0
MimicEncounter.ndjson.gz,location[0].period.start,275,275,1.0
MimicEncounter.ndjson.gz,location[0].location.reference,275,275,1.0
MimicEncounter.ndjson.gz,location[1].period.end,251,275,0.9127272727272727
MimicEncounter.ndjson.gz,location[1].period.start,251,275,0.9127272727272727
MimicEncounter.ndjson.gz,location[1].location.reference,251,275,0.9127272727272727
MimicEncounter.ndjson.gz,priority.coding[0].code,275,275,1.0
MimicEncounter.ndjson.gz,priority.coding[0].system,275,275,1.0
MimicEncounter.ndjson.gz,priority.coding[0].display,275,275,1.0
MimicEncounter.ndjson.gz,identifier[0].use,275,275,1.0
MimicEncounter.ndjson.gz,identifier[0].value,275,275,1.0
MimicEncounter.ndjson.gz,identifier[0].system,275,275,1.0
MimicEncounter.ndjson.gz,identifier[0].assigner.reference,275,275,1.0
MimicEncounter.ndjson.gz,serviceType.coding[0].code,275,275,1.0
MimicEncounter.ndjson.gz,serviceType.coding[0].system,275,275,1.0
MimicEncounter.ndjson.gz,resourceType,275,275,1.0
MimicEncounter.ndjson.gz,hospitalization.admitSource.coding[0].code,275,275,1.0
MimicEncounter.ndjson.gz,hospitalization.admitSource.coding[0].system,275,275,1.0
MimicEncounter.ndjson.gz,hospitalization.dischargeDisposition.coding[0].code,233,275,0.8472727272727273
MimicEncounter.ndjson.gz,hospitalization.dischargeDisposition.coding[0].system,233,275,0.8472727272727273
MimicEncounter.ndjson.gz,serviceProvider.reference,275,275,1.0
MimicEncounter.ndjson.gz,location[2].period.end,156,275,0.5672727272727273
MimicEncounter.ndjson.gz,location[2].period.start,156,275,0.5672727272727273
MimicEncounter.ndjson.gz,location[2].location.reference,156,275,0.5672727272727273
MimicEncounter.ndjson.gz,location[3].period.end,91,275,0.33090909090909093
MimicEncounter.ndjson.gz,location[3].period.start,91,275,0.33090909090909093
MimicEncounter.ndjson.gz,location[3].location.reference,91,275,0.33090909090909093
MimicEncounter.ndjson.gz,location[4].period.end,46,275,0.16727272727272727
MimicEncounter.ndjson.gz,location[4].period.start,46,275,0.16727272727272727
MimicEncounter.ndjson.gz,location[4].location.reference,46,275,0.16727272727272727
MimicEncounter.ndjson.gz,location[5].period.end,23,275,0.08363636363636363
MimicEncounter.ndjson.gz,location[5].period.start,23,275,0.08363636363636363
MimicEncounter.ndjson.gz,location[5].location.reference,23,275,0.08363636363636363
MimicEncounter.ndjson.gz,type[1].coding[0].code,11,275,0.04
MimicEncounter.ndjson.gz,type[1].coding[0].system,11,275,0.04
MimicEncounter.ndjson.gz,type[1].coding[0].display,11,275,0.04
MimicEncounter.ndjson.gz,type[2].coding[0].code,6,275,0.02181818181818182
MimicEncounter.ndjson.gz,type[2].coding[0].system,6,275,0.02181818181818182
MimicEncounter.ndjson.gz,type[2].coding[0].display,6,275,0.02181818181818182
MimicEncounter.ndjson.gz,type[3].coding[0].code,3,275,0.01090909090909091
MimicEncounter.ndjson.gz,type[3].coding[0].system,3,275,0.01090909090909091
MimicEncounter.ndjson.gz,type[3].coding[0].display,3,275,0.01090909090909091
MimicEncounter.ndjson.gz,location[6].period.end,9,275,0.03272727272727273
MimicEncounter.ndjson.gz,location[6].period.start,9,275,0.03272727272727273
MimicEncounter.ndjson.gz,location[6].location.reference,9,275,0.03272727272727273
MimicEncounter.ndjson.gz,location[7].period.end,5,275,0.01818181818181818
MimicEncounter.ndjson.gz,location[7].period.start,5,275,0.01818181818181818
MimicEncounter.ndjson.gz,location[7].location.reference,5,275,0.01818181818181818
MimicEncounter.ndjson.gz,location[8].period.end,5,275,0.01818181818181818
