variant,table,row_count
V0,person,1071
V0,visit_occurrence,25000
V0,condition_occurrence,25000
V0,drug_exposure,25000
V0,measurement,25000
V0,observation,25000
V0,procedure_occurrence,25000
V1,person,1071
V1,visit_occurrence,25000
V1,condition_occurrence,25000
V1,drug_exposure,25000
V1,measurement,25000
V1,observation,25000
V1,procedure_occurrence,25000
V2,person,0
V2,visit_occurrence,0
V2,condition_occurrence,0
V2,drug_exposure,0
V2,measurement,0
V2,observation,0
V2,procedure_occurrence,0
V3,person,0
V3,visit_occurrence,0
V3,condition_occurrence,0
V3,drug_exposure,0
V3,measurement,0
V3,observation,0
V3,procedure_occurrence,0
V4,person,0
V4,visit_occurrence,0
V4,condition_occurrence,0
V4,drug_exposure,0
V4,measurement,0
V4,observation,0
V4,procedure_occurrence,0
