file,resource_type,method,column,non_null_count,non_null_fraction
MimicCondition.ndjson.gz,Condition,fhiry_compact,resourceType,4506,1.0
MimicCondition.ndjson.gz,Condition,fhiry_compact,id,4506,1.0
MimicCondition.ndjson.gz,Condition,fhiry_compact,subject_ref,4506,1.0
MimicCondition.ndjson.gz,Condition,fhiry_compact,encounter_ref,4506,1.0
MimicCondition.ndjson.gz,Condition,fhiry_compact,code_code,4506,1.0
MimicCondition.ndjson.gz,Condition,fhiry_compact,code_system,4506,1.0
MimicCondition.ndjson.gz,Condition,fhiry_compact,code_display,4506,1.0
MimicCondition.ndjson.gz,Condition,fhiry_compact,clinical_status_code,0,0.0
MimicCondition.ndjson.gz,Condition,fhiry_compact,recorded_date,0,0.0
MimicCondition.ndjson.gz,Condition,fhirpack_frame,id,4506,1.0
MimicCondition.ndjson.gz,Condition,fhirpack_frame,code,4506,1.0
MimicCondition.ndjson.gz,Condition,fhirpack_frame,meta,4506,1.0
MimicCondition.ndjson.gz,Condition,fhirpack_frame,subject,4506,1.0
MimicCondition.ndjson.gz,Condition,fhirpack_frame,category,4506,1.0
MimicCondition.ndjson.gz,Condition,fhirpack_frame,encounter,4506,1.0
MimicCondition.ndjson.gz,Condition,fhirpack_frame,resourceType,4506,1.0
MimicCondition.ndjson.gz,Condition,generic_json_normalize,id,4506,1.0
MimicCondition.ndjson.gz,Condition,generic_json_normalize,category,4506,1.0
MimicCondition.ndjson.gz,Condition,generic_json_normalize,resourceType,4506,1.0
MimicCondition.ndjson.gz,Condition,generic_json_normalize,code.coding,4506,1.0
MimicCondition.ndjson.gz,Condition,generic_json_normalize,meta.profile,4506,1.0
MimicCondition.ndjson.gz,Condition,generic_json_normalize,subject.reference,4506,1.0
MimicCondition.ndjson.gz,Condition,generic_json_normalize,encounter.reference,4506,1.0
MimicConditionED.ndjson.gz,Condition,fhiry_compact,resourceType,545,1.0
MimicConditionED.ndjson.gz,Condition,fhiry_compact,id,545,1.0
MimicConditionED.ndjson.gz,Condition,fhiry_compact,subject_ref,545,1.0
MimicConditionED.ndjson.gz,Condition,fhiry_compact,encounter_ref,545,1.0
MimicConditionED.ndjson.gz,Condition,fhiry_compact,code_code,545,1.0
MimicConditionED.ndjson.gz,Condition,fhiry_compact,code_system,545,1.0
MimicConditionED.ndjson.gz,Condition,fhiry_compact,code_display,545,1.0
MimicConditionED.ndjson.gz,Condition,fhiry_compact,clinical_status_code,0,0.0
MimicConditionED.ndjson.gz,Condition,fhiry_compact,recorded_date,0,0.0
MimicConditionED.ndjson.gz,Condition,fhirpack_frame,id,545,1.0
